DateTime,PropMode,Distance
03/06/2014 07:08,Es,779.5
03/06/2014 07:08,Es,1131.5
03/06/2014 07:08,Es,1181.8
03/06/2014 07:08,Es,1181.8
03/06/2014 07:13,Es,870
03/06/2014 07:13,Es,992.9
03/06/2014 07:17,Es,1440
03/06/2014 07:23,Es,1145.3
03/06/2014 07:26,Es,1233.1
03/06/2014 07:27,Es,952.9
03/06/2014 07:30,Es,1233.4
03/06/2014 07:31,Es,1028
03/06/2014 07:33,Es,1085.1
03/06/2014 07:34,Es,946.9
03/06/2014 07:35,Es,913.9
03/06/2014 07:36,Es,891
03/06/2014 07:36,Es,1252.1
03/06/2014 07:37,Es,967.2
03/06/2014 07:37,Es,981.6
03/06/2014 07:37,Es,1118.7
03/06/2014 07:38,Es,891
03/06/2014 07:38,Es,1105.3
03/06/2014 07:39,Es,956.9
03/06/2014 07:39,Es,996
03/06/2014 07:39,Es,1083.5
03/06/2014 07:39,Es,1307.5
03/06/2014 07:40,Es,969.2
03/06/2014 07:41,Es,981.6
03/06/2014 07:42,Es,911.3
03/06/2014 07:42,Es,1047.4
03/06/2014 07:42,Es,1162.6
03/06/2014 07:42,Es,1307.4
03/06/2014 07:44,Es,891
03/06/2014 07:44,Es,1196.2
03/06/2014 07:45,Es,916.1
03/06/2014 07:45,Es,969.2
03/06/2014 07:45,Es,1065.1
03/06/2014 07:46,Es,1091.2
03/06/2014 07:46,Es,1138.5
03/06/2014 07:47,Es,942.7
03/06/2014 07:48,Es,728.5
03/06/2014 07:49,Es,882.5
03/06/2014 07:51,Es,1307.5
03/06/2014 07:52,Es,806
03/06/2014 07:52,Es,902.5
03/06/2014 07:52,Es,911.3
03/06/2014 07:58,Es,806
03/06/2014 07:58,Es,902.5
03/06/2014 07:59,Es,893.3
03/06/2014 08:00,Es,891.3
03/06/2014 08:01,Es,776.6
03/06/2014 08:01,Es,806
03/06/2014 08:01,Es,1089.9
03/06/2014 08:02,Es,1015.8
03/06/2014 08:03,Es,1065.1
03/06/2014 08:05,Es,1094
03/06/2014 08:07,Es,891.3
03/06/2014 08:07,Es,1046.6
03/06/2014 08:08,Es,1017.6
03/06/2014 08:08,Es,1094
03/06/2014 08:09,Es,934.2
03/06/2014 08:09,Es,959.2
03/06/2014 08:10,Es,1047.3
03/06/2014 08:10,Es,1107.1
03/06/2014 08:12,Es,905.9
03/06/2014 08:18,Es,788.7
03/06/2014 08:18,Es,788.7
03/06/2014 08:21,Es,1306.3
03/06/2014 08:22,Es,882
03/06/2014 08:32,Es,1149.9
03/06/2014 08:43,Es,951.8
03/06/2014 08:51,Es,916.1
03/06/2014 08:52,Es,933.1
03/06/2014 08:54,Es,972.5
03/06/2014 09:02,Es,859.8
03/06/2014 09:04,Es,992.3
03/06/2014 09:04,Es,1107.4
03/06/2014 09:06,Es,881.5
03/06/2014 09:09,Es,1107.4
04/06/2014 13:55,Es,977.8
04/06/2014 13:58,Es,1106.4
04/06/2014 14:06,Es,910.4
04/06/2014 14:07,Es,900.2
04/06/2014 14:09,Es,907.7
04/06/2014 14:09,Es,1015.3
04/06/2014 14:09,Es,1027.7
04/06/2014 14:11,Es,1015.3
04/06/2014 14:12,Es,1017
04/06/2014 14:14,Es,984
04/06/2014 14:17,Es,1028.7
04/06/2014 14:22,Es,952.9
04/06/2014 14:24,Es,1015.3
04/06/2014 14:28,Es,844.4
04/06/2014 14:28,Es,984
04/06/2014 14:29,Es,837.7
04/06/2014 14:31,Es,846.1
04/06/2014 14:31,Es,863.1
04/06/2014 14:32,Es,1015.3
04/06/2014 14:34,Es,869.8
04/06/2014 14:42,Es,752.4
04/06/2014 14:43,Es,849
04/06/2014 14:45,Es,1015.3
06/06/2014 12:10,Es,1140.9
06/06/2014 12:16,Es,1140.9
06/06/2014 12:22,Es,951.8
06/06/2014 12:23,Es,952.9
06/06/2014 12:30,Es,1145.3
06/06/2014 12:56,Es,1342.4
07/06/2014 15:11,Es,954.2
10/06/2014 17:49,Es,1113.6
11/06/2014 12:40,Es,1033.4
11/06/2014 12:52,Es,848.8
11/06/2014 17:54,MS,875.7
11/06/2014 18:03,Es,977.8
15/06/2014 07:44,Es,1036.4
15/06/2014 13:17,Es,977.8
16/06/2014 19:07,Es,1168.3
16/06/2014 19:08,Es,679
16/06/2014 19:08,Es,684.8
16/06/2014 19:08,Es,738.5
16/06/2014 19:09,Es,690.7
16/06/2014 19:09,Es,739.1
17/06/2014 05:14,Tropo,516.7
17/06/2014 05:15,Tropo,516.7
17/06/2014 05:25,Tropo,516.7
17/06/2014 05:41,Tropo,271.6
17/06/2014 09:16,Es,1322.9
17/06/2014 09:55,Es,1300.5
18/06/2014 14:13,Es,878.3
18/06/2014 14:15,Es,1114.6
18/06/2014 14:15,Es,1114.6
18/06/2014 14:16,Es,1114.6
18/06/2014 14:19,Es,1070.1
18/06/2014 14:33,Es,859.5
18/06/2014 14:33,Es,1122
18/06/2014 14:34,Es,1120.1
18/06/2014 14:47,Es,1351.1
21/06/2014 16:23,Es,1145.3
21/06/2014 16:36,Es,1072.8
21/06/2014 16:36,Es,1122
21/06/2014 16:39,Es,1069.3
21/06/2014 16:39,Es,1069.8
21/06/2014 16:59,Es,1235
21/06/2014 17:06,Es,807.7
21/06/2014 17:06,Es,807.7
21/06/2014 17:11,Es,813.2
21/06/2014 17:11,Es,1160.8
21/06/2014 17:13,Es,1090.9
21/06/2014 17:21,Es,807.7
21/06/2014 17:23,Es,1024.6
21/06/2014 17:24,Es,776.4
21/06/2014 17:25,Es,1160.8
21/06/2014 17:32,Es,919.8
21/06/2014 17:32,Es,974.8
21/06/2014 17:33,Es,973
21/06/2014 17:34,Es,845.7
21/06/2014 17:34,Es,871.9
21/06/2014 17:35,Es,911
21/06/2014 17:44,Es,1033.4
21/06/2014 17:59,Es,1054.8
21/06/2014 18:00,Es,777
21/06/2014 18:03,Es,1021.4
21/06/2014 18:06,Es,1028.7
21/06/2014 18:13,Es,1069.3
21/06/2014 18:13,Es,1077.2
21/06/2014 18:14,Es,1069.3
21/06/2014 18:14,Es,1313
21/06/2014 18:15,Es,1069.3
21/06/2014 18:36,Es,977.8
21/06/2014 18:36,Es,977.8
21/06/2014 18:48,Es,1093.8
22/06/2014 17:07,Es,1160.8
22/06/2014 18:29,Es,1322.9
22/06/2014 18:30,Es,1322.9
22/06/2014 18:58,Es,1007.4
22/06/2014 19:07,Es,1300.5
23/06/2014 06:40,Es,919.8
23/06/2014 06:41,Es,919.8
23/06/2014 15:05,Es,1300.5
23/06/2014 15:08,Es,1300.5
23/06/2014 15:36,Es,1168.3
23/06/2014 18:48,Es,1072.8
24/06/2014 18:40,Es,1160.8
25/06/2014 17:02,Es,869.8
25/06/2014 17:02,Es,910.4
25/06/2014 17:03,Es,837.7
25/06/2014 17:06,Es,844.4
25/06/2014 17:07,Es,1101.2
25/06/2014 17:20,Es,977.8
25/06/2014 17:20,Es,977.8
25/06/2014 17:25,Es,1042.4
25/06/2014 17:27,Es,889.1
27/06/2014 20:35,Es,1300.5
28/06/2014 07:45,Es,1383.7
28/06/2014 07:47,Es,1072.8
28/06/2014 07:47,Es,1122
28/06/2014 07:49,Es,1069.3
28/06/2014 07:53,Es,977.8
28/06/2014 08:01,Es,1106.4
28/06/2014 08:01,Es,1351.1
28/06/2014 08:06,Es,1028.7
28/06/2014 17:08,Es,1440
28/06/2014 17:13,Es,1463.4
28/06/2014 17:16,Es,1307.5
28/06/2014 17:18,Es,1379.8
28/06/2014 17:34,Es,1253
28/06/2014 17:39,Es,1247.4
28/06/2014 17:40,Es,972.6
28/06/2014 17:43,Es,1191.4
28/06/2014 17:54,Es,1160.8
28/06/2014 17:54,Es,1209.7
28/06/2014 17:59,Es,1184.5
28/06/2014 18:11,Es,1151.8
28/06/2014 18:23,Es,1322.9
28/06/2014 18:39,Es,1168.3
28/06/2014 19:43,Es,1028.7
30/06/2014 17:26,Es,1209.7
30/06/2014 17:29,Es,1209.7
30/06/2014 18:41,Es,1243.5
30/06/2014 18:47,Es,1243.5
30/06/2014 18:49,Es,1243.5
30/06/2014 19:00,Es,1252.1
30/06/2014 19:15,Es,992.9
30/06/2014 19:15,Es,1242.3
30/06/2014 19:25,Es,1307.5
30/06/2014 19:26,Es,1307.5
30/06/2014 19:48,Es,1093.8
30/06/2014 19:58,Es,1483.3
30/06/2014 20:18,Es,1069.3
30/06/2014 20:18,Es,1072.8
30/06/2014 20:19,Es,1069.3
30/06/2014 20:19,Es,1120.1
30/06/2014 20:19,Es,1122
01/07/2014 11:36,Es,1386.5
01/07/2014 11:38,Es,1386.5
01/07/2014 15:54,Es,984
